Название;Цена;Наличие
Ноутбук Lenovo V145 Intel Celeron N4020 4GB DDR 500GB HDD Intel UHD 600 Graphics HD серый;27880 сом;На складе
Ноутбук Lenovo V145 Intel Celeron N4020 4GB DDR 120GB SSD Intel UHD 600 Graphics HD серый;28310 сом;На складе
Ноутбук Lenovo V145 Intel Celeron N4020 4GB DDR 240GB SSD Intel UHD 600 Graphics HD серый;29190 сом;На складе
Ноутбук Acer Extensa EX215-52-586W Intel Core i5-1035G1 4GB DDR4 256GB SSD FHD DOS Black;52620 сом;На складе
Ноутбук Acer Extensa EX215-31-C3FF Intel Celeron N4020 4GB DDR4 128GB SSD FHD DOS Black;35730 сом;На складе
Ноутбук Acer Extensa 15 EX215-22G-R9G5 AMD Athlon 3050U 8GB DDR4 256GB SSD RADEON 625 FHD DOS Black;47930 сом;На складе
Ноутбук Asus TUF FX505DT AMD Ryzen 5-3750H 8GB DDR4 1000GB HDD + 256GB SSD Nvidia Geforce GTX1650 4GB FHD черный;88020 сом;На складе
Ноутбук HP 15-db1206ur 104G2EA#ACB AMD Ryzen 5 3500U 4GB DDR4 512GB SSD AMD Radeon Vega 8 FHD черный;50800 сом;На складе
Ноутбук Evoo EG-LP4-BK Intel Core i7-9750H 16GB DDR4 1000GB HDD + 256GB SSD Nvidia Geforce GTX1650 4GB FHD;103220 сом;На складе
Ноутбук Acer Extensa EX215-22-R927 AMD Ryzen 3 3250U 4GB DDR4 512GB SSD FHD DOS Black;41400 сом;На складе
Ноутбук MSI GF63 Thin Intel Core i7-9750H 16GB DDR4 1000GB HDD + 512GB SSD NVIDIA GTX1650Ti FHD W10 Black;120870 сом;На складе
Ноутбук Acer Nitro 5 AN515-54 Intel Core i5-9300H 16GB DDR4 512GB SSD NVIDIA GTX1650 FHD W10 Black;93220 сом;На складе
Ноутбук MSI GF63 Thin Intel Core i7-9750H 8GB DDR4 1000GB HDD + 256GB SSD NVIDIA GTX1650Ti FHD W10 Black;114680 сом;На складе
Ноутбук Acer Nitro 5 AN515-55 Intel Core i5-10300H 8GB DDR4 256GB SSD NVIDIA GTX1650 FHD W10 Black;88020 сом;На складе
Ноутбук MSI GF63 Thin Intel Core i7-9750H 8GB DDR4 512GB SSD NVIDIA GTX1650Ti FHD W10 Black;114680 сом;На складе
Ноутбук Dell XPS 13 XPS7390 Intel Core i5-10210U 4GB DDR4 128GB SSD Intel UHD Graphics Full HD серебристый;86980 сом;На складе
Ноутбук Asus X509J Intel Core i5-1035G1 20GB DDR4 256GB SSD NVIDIA MX330 FHD W10 Slate Grey;69620 сом;На складе
Ноутбук Lenovo ThinkBook 14s-IWL 20RM0002US Intel Core i5-8565U 8GB DDR4 256GB SSD AMD Radeon 540X 2GB FHD Windows 10 Home Mineral Grey;73110 сом;На складе
Ноутбук Dell Inspiron 15 5000 series 3593 Intel Core i3-1005G1 4GB DDR4 500GB HDD Linux черный;40700 сом;На складе
Ноутбук Acer Extensa 15 EX215-52-7009 Intel Core i7-1065G7 8GB DDR4 256GB SSD Intel Iris Plus Graphics FHD черный;71550 сом;На складе
Ноутбук Dell Inspiron 15 5000 series 3593 Intel Core i3-1005G1 4GB DDR4 1000GB HDD Linux черный;40790 сом;На складе
Ноутбук MSI Modern 14 A10M-1052US 9S7-14B362-1052 Intel Core i5-10210U 8GB DDR4 512GB SSD Intel UHD Graphics 620 FHD серый;72250 сом;На складе
Ноутбук Dell Inspiron 15 5000 series 3593 Intel Core i3-1005G1 4GB DDR4 120GB SSD Linux черный;40790 сом;На складе
Ноутбук Acer Aspire A315-57G-3022 Intel Core i3-1005G1 8GB DDR4 512GB SSD NVIDIA MX330 FHD DOS Black;55750 сом;На складе
Ноутбук Dell Inspiron 15 5000 series 3593 Intel Core i3-1005G1 8GB DDR4 120GB SSD Linux черный;42700 сом;На складе
Ноутбук HP 15-EC1063UR AMD Ryzen 7-4800H 8GB DDR4 512GB SSD NVIDIA GTX1660Ti FHD DOS Black;101890 сом;На складе
Ноутбук Lenovo ThinkPad X390 Yoga 20NNS0TE00 Intel Core i5-8365U 8GB DDR4 256GB SSD Intel UHD Graphics 620 FHD черный;69640 сом;На складе
Ноутбук Dell Vostro 14 3400 Intel Core i5-1135G7 8GB DDR4 256GB SSD FHD W10 Black;68780 сом;На складе
Ноутбук Dell Inspiron 15 5000 series 3593 Intel Core i3-1005G1 4GB DDR4 240GB SSD Linux черный;41670 сом;На складе
Ноутбук Dell Inspiron 15 5000 series 3593 Intel Core i3-1005G1 8GB DDR4 240GB SSD Linux черный;43840 сом;На складе
Ноутбук Asus E410MA-202 Intel Celeron N4020 4GB DDR4 128GB EMMC W10 Blue;31370 сом;На складе
Ноутбук Lenovo IdeaPad Gaming 3-15IMH05 81Y4002RUS Intel Core i7-10750H 8GB DDR4 512GB SSD Nvidia GTX 1650Ti 4GB FHD черный;104300 сом;На складе
Ноутбук Lenovo IdeaPad 3 15IGL05 Intel Celeron N4120 4GB DDR 240GB SSD Intel UHD Graphics 600 HD серый;37480 сом;На складе
Ноутбук Dell Latitude 15 3510 Intel Core i5-10210U 8GB DDR4 500GB HDD W10 Silver;77880 сом;На складе
Ноутбук Lenovo Legion Y540-15IRH 81SX012TUS Intel Core i7-9750H 16GB DDR4 256GB SSD Nvidia GTX1660Ti 6 GB FHD черный;106460 сом;На складе
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 12GB DDR 512GB SSD Intel HD Graphics 620 HD черный;47230 сом;На складе
Ноутбук Asus VivoBook F512DA-NH77 AMD Ryzen 7 3700U 8GB DDR4 512GB SSD AMD Radeon Vega 10 FHD;79440 сом;На складе
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 12GB DDR 500GB HDD + 120GB SSD Intel HD Graphics 620 HD черный;46880 сом;На складе
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 12GB DDR 1000GB HDD + 512GB SSD Intel HD Graphics 620 HD DOS Black;50360 сом;На складе
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 12GB DDR 500GB HDD Intel HD Graphics 620 HD черный;44270 сом;На складе
Ноутбук Lenovo Yoga C740-14IML Intel Core i7-10510U 8GB DDR4 512GB SSD FHD W10 Touch Mica;86980 сом;На складе
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 12GB DDR 1000GB HDD Intel HD Graphics 620 HD черный;44630 сом;На складе
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 12GB DDR 120GB SSD Intel HD Graphics 620 HD черный;44630 сом;На складе
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 12GB DDR 256GB SSD Intel HD Graphics 620 HD черный;45500 сом;На складе
Ноутбук Lenovo Legion 7i 15IMH05 Intel Core i7-10750H 16GB DDR4 1000GB HDD + 512GB SSD NVIDIA FHD W10 Grey RTX2070;198670 сом;На складе
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 12GB DDR 500GB HDD + 256GB SSD Intel HD Graphics 620 HD черный;48110 сом;На складе
Ноутбук Lenovo Legion Intel Core i7-10750H 8GB DDR4 512GB SSD Nvidia GTX 1650Ti 4GB FHD черный;115560 сом;На складе
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 4GB DDR 1000GB HDD + 120GB SSD Intel HD Graphics 620 HD DOS Black;42700 сом;На складе
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 12GB DDR 1000GB HDD + 120GB SSD Intel HD Graphics 620 HD DOS Black;47230 сом;На складе
Ноутбук HP 14S-CF2050 Intel Celeron N4020 4GB DDR4 64GB SSD W10 Silver;28580 сом-1%28310 сом;На складе
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 12GB DDR 1000GB HDD + 256GB SSD Intel HD Graphics 620 HD DOS Black;48540 сом;На складе
Ноутбук HP 14S-CF2050 Intel Celeron N4020 8GB DDR4 64GB SSD W10 Silver;30850 сом-3%30060 сом;На складе
Ноутбук HP 15-dy1032ms 16U89UA#ABA Intel Core i3-1005G1 Intel Core i3-1005G1 8GB DDR4 128GB SSD Intel UHD Graphics HD серебристый;51400 сом;На складе
Ноутбук Lenovo IdeaPad Slim 1-14AST-05 81VS AMD A4-9120e 4GB DDR 128GB SSD AMD Radeon R3 Graphics HD серый;28150 сом;На складе
Ноутбук HP Pavilion Gaming 15-ec1073dx 1S8F3UA#ABA AMD Ryzen 5 4600H 8GB DDR4 256GB SSD Nvidia GTX 1650 4GB FHD черный;76580 сом;Уточняйте наличие
Ноутбук Acer Spin 5 SP513-52N-8326 Intel Core i7-8550U 8GB DDR4 256GB SSD Intel UHD Graphics 620 FHD серый;73980 сом;Уточняйте наличие
Ноутбук Apple MacBook Pro 13 дисплей Retina с технологией True Tone Mid 2020 (MWP82) серебристый;170150 сом-4%164110 сом;Уточняйте наличие
Ноутбук Acer Nitro 5 AN515-53-55G9 Intel Core i5-8300H 8GB DDR4 256GB SSD NVIDIA GTX1050Ti черный;72600 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 4GB DDR4 128GB SSD DOS Black;41830 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 8GB DDR4 500GB HDD + 128GB SSD DOS Black;45750 сом;Уточняйте наличие
Ноутбук Acer Nitro 5 AN515-55 Intel Core i5-10300H 16GB DDR4 1000GB HDD + 256GB SSD NVIDIA GTX1650 FHD W10 Black;91830 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 8GB DDR4 1000GB HDD + 128GB SSD DOS Black;46190 сом;Уточняйте наличие
Ноутбук HP 250 G7 Intel Core i3-8130U 4GB DDR4 1000GB HDD NVIDIA MX110 FHD DOS;49670 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad S340-15API AMD Ryzen 3-3200U 4GB DDR 1000GB HDD + 128GB SSD AMD Radeon Graphics FHD серый;45750 сом;Уточняйте наличие
Ноутбук HP 250 G7 Intel Core i3-8130U 8GB DDR4 1000GB HDD NVIDIA MX110 FHD DOS;50620 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad S340-15API AMD Ryzen 3-3200U 4GB DDR 1000GB HDD + 256GB SSD AMD Radeon Graphics FHD серый;47060 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad S340-15API AMD Ryzen 3-3200U 8GB DDR 1000GB HDD + 128GB SSD AMD Radeon Graphics FHD серый;47930 сом;Уточняйте наличие
Ноутбук Acer Travelmate B1 TMB118-M Intel Celeron N4120 4GB DDR4 64GB EMMC DOS Black;26570 сом;Уточняйте наличие
Ноутбук HP 250 G7 Intel Core i3-8130U 4GB DDR4 256GB SSD NVIDIA MX110 FHD DOS;50970 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad S340-15API AMD Ryzen 3-3200U 8GB DDR 1000GB HDD + 256GB SSD AMD Radeon Graphics FHD серый;49230 сом;Уточняйте наличие
Ноутбук Apple MacBook Pro 13 with Retina display and Touch Bar Mid 2019 (MUHP2) серый космос;121660 сом-13%105450 сом;Уточняйте наличие
Ноутбук HP 250 G7 Intel Core i3-8130U 8GB DDR4 256GB SSD NVIDIA MX110 FHD DOS;53140 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad S340-15API AMD Ryzen 3-3200U 8GB DDR 1000GB HDD + 512GB SSD AMD Radeon Graphics FHD серый;52270 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad S340-15API AMD Ryzen 3-3200U 12GB DDR 1000GB HDD + 128GB SSD AMD Radeon Graphics FHD серый;50100 сом;Уточняйте наличие
Ноутбук HP 250 G7 Intel Core i3-8130U 4GB DDR4 512GB SSD NVIDIA MX110 FHD DOS;53580 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad S340-15API AMD Ryzen 3-3200U 12GB DDR 1000GB HDD + 256GB SSD AMD Radeon Graphics FHD серый;51400 сом;Уточняйте наличие
Ноутбук Lenovo IdeaPad L3 15IML05 Intel Core i5-10210U 4GB DDR 1000GB HDD Nvidia MX130 2GB HD;45750 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad S340-15API AMD Ryzen 3-3200U 12GB DDR 1000GB HDD + 512GB SSD AMD Radeon Graphics FHD серый;54880 сом;Уточняйте наличие
Ноутбук HP 250 G7 Intel Core i3-8130U 8GB DDR4 512GB SSD NVIDIA MX110 FHD DOS;55750 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad L3-15ADA05 AMD Ryzen 5-3500U 4GB DDR 512GB SSD Radeon Vega 8 Graphics HD черный;50100 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 4GB DDR 500GB HDD Intel HD Graphics 620 HD серебристый;42270 сом;Уточняйте наличие
Ноутбук Asus TUF Gaming FX506LI-BI5N5 Intel Core i5-10300H 8GB DDR4 256GB SSD Nvidia GTX 1650Ti 4GB FHD DOS черный;88280 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 4GB DDR 1000GB HDD Intel HD Graphics 620 HD серебристый;42530 сом;Уточняйте наличие
Ноутбук Asus TUF Gaming FX506LI-BI5N5 Intel Core i5-10300H 8GB DDR4 512GB SSD Nvidia GTX 1650Ti 4GB FHD DOS черный;91750 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 4GB DDR 128GB SSD Intel HD Graphics 620 HD серебристый;43140 сом;Уточняйте наличие
Ноутбук Asus TUF Gaming FX506LI-BI5N5 Intel Core i5-10300H 8GB DDR4 1000GB HDD + 256GB SSD Nvidia GTX 1650Ti 4GB FHD DOS черный;91750 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 4GB DDR 256GB SSD Intel HD Graphics 620 HD серебристый;44020 сом;Уточняйте наличие
Ноутбук Asus TUF Gaming FX506LI-BI5N5 Intel Core i5-10300H 8GB DDR4 1000GB HDD + 512GB SSD Nvidia GTX 1650Ti 4GB FHD DOS черный;95210 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 8GB DDR 128GB SSD Intel HD Graphics 620 HD серебристый;45320 сом;Уточняйте наличие
Ноутбук Asus TUF Gaming FX506LI-BI5N5 Intel Core i5-10300H 12GB DDR4 256GB SSD Nvidia GTX 1650Ti 4GB FHD DOS черный;91750 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 8GB DDR 500GB HDD Intel HD Graphics 620 HD серебристый;44880 сом;Уточняйте наличие
Ноутбук Asus TUF Gaming FX506LI-BI5N5 Intel Core i5-10300H 12GB DDR4 512GB SSD Nvidia GTX 1650Ti 4GB FHD DOS черный;95210 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 8GB DDR 1000GB HDD Intel HD Graphics 620 HD серебристый;45320 сом;Уточняйте наличие
Ноутбук Asus TUF Gaming FX506LI-BI5N5 Intel Core i5-10300H 12GB DDR4 1000GB HDD + 256GB SSD Nvidia GTX 1650Ti 4GB FHD DOS черный;94790 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 8GB DDR 256GB SSD Intel HD Graphics 620 HD серебристый;47060 сом;Уточняйте наличие
Ноутбук Asus TUF Gaming FX506LI-BI5N5 Intel Core i5-10300H 12GB DDR4 1000GB HDD + 512GB SSD Nvidia GTX 1650Ti 4GB FHD DOS черный;98240 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 8GB DDR 512GB SSD Intel HD Graphics 620 HD серебристый;50100 сом;Уточняйте наличие
Ноутбук Asus TUF Gaming FX506LI-BI5N5 Intel Core i5-10300H 16GB DDR4 256GB SSD Nvidia GTX 1650Ti 4GB FHD DOS черный;94350 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 8GB DDR 500GB HDD + 128GB SSD Intel HD Graphics 620 HD серебристый;48360 сом;Уточняйте наличие
Ноутбук Asus TUF Gaming FX506LI-BI5N5 Intel Core i5-10300H 16GB DDR4 512GB SSD Nvidia GTX 1650Ti 4GB FHD DOS черный;97820 сом;Уточняйте наличие
Ноутбук HP 15S-EQ1231UR AMD Ryzen 3-3250U 4GB DDR4 128GB SSD FHD DOS Black;36080 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 8GB DDR 1000GB HDD + 128GB SSD Intel HD Graphics 620 HD серебристый;48800 сом;Уточняйте наличие
Ноутбук Asus TUF Gaming FX506LI-BI5N5 Intel Core i5-10300H 16GB DDR4 1000GB HDD + 256GB SSD Nvidia GTX 1650Ti 4GB FHD DOS черный;97380 сом;Уточняйте наличие
Ноутбук HP 15S-EQ1231UR AMD Ryzen 3-3250U 4GB DDR4 256GB SSD FHD DOS Black;36930 сом;Уточняйте наличие
Ноутбук Apple MacBook Pro 13 дисплей Retina с технологией True Tone Mid 2020 (MXK72) серебристый;127940 сом;Уточняйте наличие
Ноутбук Asus TUF Gaming FX506LI-BI5N5 Intel Core i5-10300H 16GB DDR4 1000GB HDD + 512GB SSD Nvidia GTX 1650Ti 4GB FHD DOS черный;100850 сом;Уточняйте наличие
Ноутбук HP 15S-EQ1231UR AMD Ryzen 3-3250U 4GB DDR4 500GB SSD FHD DOS Black;40750 сом;Уточняйте наличие
Ноутбук Apple MacBook Pro 13 дисплей Retina с технологией True Tone Mid 2020 (MXK62) серебристый;113260 сом-2%110620 сом;Уточняйте наличие
Ноутбук Asus TUF Gaming FX506LI-BI5N5 Intel Core i5-10300H 24GB DDR4 256GB SSD Nvidia GTX 1650Ti 4GB FHD DOS черный;98680 сом;Уточняйте наличие
Ноутбук HP 15S-EQ1231UR AMD Ryzen 3-3250U 8GB DDR4 128GB SSD FHD DOS Black;37780 сом;Уточняйте наличие
Ноутбук Asus TUF Gaming FX506LI-BI5N5 Intel Core i5-10300H 24GB DDR4 512GB SSD Nvidia GTX 1650Ti 4GB FHD DOS черный;102140 сом;Уточняйте наличие
Ноутбук HP 15S-EQ1231UR AMD Ryzen 3-3250U 8GB DDR4 256GB SSD FHD DOS Black;38710 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 8GB DDR 500GB HDD + 256GB SSD Intel HD Graphics 620 HD серебристый;49230 сом;Уточняйте наличие
Ноутбук HP 15S-EQ1231UR AMD Ryzen 3-3250U 8GB DDR4 500GB SSD FHD DOS Black;42460 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 8GB DDR 1000GB HDD + 256GB SSD Intel HD Graphics 620 HD серебристый;49670 сом;Уточняйте наличие
Ноутбук Asus TUF Gaming FX506LI-BI5N5 Intel Core i5-10300H 24GB DDR4 1000GB HDD + 256GB SSD Nvidia GTX 1650Ti 4GB FHD DOS черный;101710 сом;Уточняйте наличие
Ноутбук HP 15S-EQ1231UR AMD Ryzen 3-3250U 12GB DDR4 128GB SSD FHD DOS Black;38970 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad S145-15IIL Intel Core i3-1005G1 8GB DDR 1000GB HDD + 512GB SSD Intel HD Graphics 620 HD серебристый;52710 сом;Уточняйте наличие
Ноутбук Asus TUF Gaming FX506LI-BI5N5 Intel Core i5-10300H 24GB DDR4 1000GB HDD + 512GB SSD Nvidia GTX 1650Ti 4GB FHD DOS черный;105170 сом;Уточняйте наличие
Ноутбук HP 15S-EQ1231UR AMD Ryzen 3-3250U 12GB DDR4 256GB SSD FHD DOS Black;39900 сом;Уточняйте наличие
Ноутбук Asus TUF Gaming FX506LI-BI5N5 Intel Core i5-10300H 32GB DDR4 256GB SSD Nvidia GTX 1650Ti 4GB FHD DOS черный;103000 сом;Уточняйте наличие
Ноутбук HP 15S-EQ1231UR AMD Ryzen 3-3250U 12GB DDR4 500GB SSD FHD DOS Black;43890 сом;Уточняйте наличие
Ноутбук HP 15S-EQ1231UR AMD Ryzen 3-3250U 20GB DDR4 128GB SSD FHD DOS Black;41430 сом;Уточняйте наличие
Ноутбук Asus TUF Gaming FX506LI-BI5N5 Intel Core i5-10300H 32GB DDR4 512GB SSD Nvidia GTX 1650Ti 4GB FHD DOS черный;106460 сом;Уточняйте наличие
Ноутбук HP 15S-EQ1231UR AMD Ryzen 3-3250U 20GB DDR4 256GB SSD FHD DOS Black;42360 сом;Уточняйте наличие
Ноутбук Asus TUF Gaming FX506LI-BI5N5 Intel Core i5-10300H 32GB DDR4 1000GB HDD + 256GB SSD Nvidia GTX 1650Ti 4GB FHD DOS черный;106030 сом;Уточняйте наличие
Ноутбук HP 15S-EQ1231UR AMD Ryzen 3-3250U 20GB DDR4 500GB SSD FHD DOS Black;46020 сом;Уточняйте наличие
Ноутбук Asus TUF Gaming FX506LI-BI5N5 Intel Core i5-10300H 32GB DDR4 1000GB HDD + 512GB SSD Nvidia GTX 1650Ti 4GB FHD DOS черный;109490 сом;Уточняйте наличие
Ноутбук Asus X509JA Intel Core i3-1005G1 4GB DDR4 480GB SSD FHD DOS Grey;45930 сом;Уточняйте наличие
Ноутбук Asus TUF Gaming FX506LI-BI5N5 Intel Core i5-10300H 64GB DDR4 1000GB HDD + 512GB SSD Nvidia GTX 1650Ti 4GB FHD DOS черный;128520 сом;Уточняйте наличие
Ноутбук Asus X509JA Intel Core i3-1005G1 8GB DDR4 480GB SSD FHD DOS Grey;47630 сом;Уточняйте наличие
Ноутбук Asus ROG Strix G15 G512LI Intel Core i5-10300H 8GB DDR4 512GB SSD NVIDIA GTX1650Ti FHD DOS Black;91750 сом;Уточняйте наличие
Ноутбук Asus X509JA Intel Core i3-1005G1 12GB DDR4 480GB SSD FHD DOS Grey;49330 сом;Уточняйте наличие
Ноутбук Asus X509JA Intel Core i3-1005G1 20GB DDR4 480GB SSD FHD DOS Grey;51790 сом;Уточняйте наличие
Ноутбук Apple MacBook Pro 16 with Retina display and Touch Bar Late 2019 (MVVJ2);213180 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad S145-15AST AMD A6-9225 4GB DDR4 500GB HDD AMD Radeon R7 2GB HD черный;38780 сом;Уточняйте наличие
Ноутбук Asus X540UB Intel Core i3-7020U 8GB DDR 120GB SSD Intel HD Graphics 620 FHD DVDRW серебристый;45660 сом;Уточняйте наличие
Ноутбук Asus X509JA Intel Core i3-1005G1 12GB DDR4 1000GB HDD FHD DOS Grey;46790 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad S145-15AST AMD A6-9225 8GB DDR4 500GB HDD AMD Radeon R7 2GB HD черный;40960 сом;Уточняйте наличие
Ноутбук Asus X509JA Intel Core i3-1005G1 20GB DDR4 1000GB HDD FHD DOS Grey;49330 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad S145-15AST AMD A6-9225 4GB DDR4 128GB SSD AMD Radeon R7 2GB HD черный;38780 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad L3-15IML05 Intel Core i7-10510U 8GB DDR4 128GB SSD Nvidia Geforce MX330 2GB HD серый;72250 сом;Уточняйте наличие
Ноутбук Asus X509JA Intel Core i3-1005G1 4GB DDR4 1000GB HDD + 128GB SSD FHD DOS Grey;47540 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad S145-15AST AMD A6-9225 8GB DDR4 128GB SSD AMD Radeon R7 2GB HD черный;40960 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad L3-15IML05 Intel Core i7-10510U 8GB DDR4 256GB SSD Nvidia Geforce MX330 2GB HD серый;72690 сом;Уточняйте наличие
Ноутбук Asus X509JA Intel Core i3-1005G1 8GB DDR4 1000GB HDD + 128GB SSD FHD DOS Grey;49670 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad L3-15IML05 Intel Core i7-10510U 8GB DDR4 480GB SSD Nvidia Geforce MX330 2GB HD серый;74760 сом;Уточняйте наличие
Ноутбук Asus X509JA Intel Core i3-1005G1 12GB DDR4 1000GB HDD + 128GB SSD FHD DOS Grey;51790 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad L3-15IML05 Intel Core i7-10510U 8GB DDR4 512GB SSD Nvidia Geforce MX330 2GB HD серый;75280 сом;Уточняйте наличие
Ноутбук Asus X509JA Intel Core i3-1005G1 20GB DDR4 1000GB HDD + 128GB SSD FHD DOS Grey;56030 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad S145-15AST AMD A6-9225 4GB DDR4 1000GB HDD + 256GB SSD AMD Radeon R7 2GB HD черный;43570 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad L3-15IML05 Intel Core i5-10210U 12GB DDR 1000GB HDD + 128GB SSD Intel HD Graphics 620 HD серебристый;58360 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad L3-15IML05 Intel Core i7-10510U 8GB DDR4 1000GB HDD Nvidia Geforce MX330 2GB HD серый;72250 сом;Уточняйте наличие
Ноутбук Asus X509JA Intel Core i3-1005G1 4GB DDR4 1000GB HDD + 256GB SSD FHD DOS Grey;48820 сом;Уточняйте наличие
Ноутбук Dell Inspiron 5770 Intel Core i3-7020U 12GB DDR 256GB SSD AMD Radeon 530 2GB FHD серебристый;53140 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad L3-15IML05 Intel Core i5-10210U 12GB DDR 1000GB HDD + 256GB SSD Intel HD Graphics 620 HD серебристый;59660 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad L3-15IML05 Intel Core i7-10510U 8GB DDR4 1000GB HDD + 128GB SSD  Nvidia Geforce MX330 2GB HD серый;74930 сом;Уточняйте наличие
Ноутбук Asus X509JA Intel Core i3-1005G1 8GB DDR4 1000GB HDD + 256GB SSD FHD DOS Grey;50950 сом;Уточняйте наличие
Ноутбук Dell Inspiron 5770 Intel Core i3-7020U 12GB DDR 512GB SSD AMD Radeon 530 2GB FHD серебристый;57050 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad L3-15IML05 Intel Core i5-10210U 12GB DDR 1000GB HDD + 512GB SSD Intel HD Graphics 620 HD серебристый;63570 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad L3-15IML05 Intel Core i7-10510U 8GB DDR4 1000GB HDD + 256GB SSD Nvidia Geforce MX330 2GB HD серый;75900 сом;Уточняйте наличие
Ноутбук Asus X509JA Intel Core i3-1005G1 12GB DDR4 1000GB HDD + 256GB SSD FHD DOS Grey;53060 сом;Уточняйте наличие
Ноутбук Dell Inspiron 5770 Intel Core i3-7020U 8GB DDR 1000GB HDD +  128GB SSD AMD Radeon 530 2GB FHD серебристый;52270 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad L3-15IML05 Intel Core i5-10210U 12GB DDR 1000GB HDD Intel HD Graphics 620 HD серебристый;55320 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad L3-15IML05 Intel Core i7-10510U 8GB DDR4 1000GB HDD + 512GB SSD Nvidia Geforce MX330 2GB HD серый;80480 сом;Уточняйте наличие
Ноутбук Asus X509JA Intel Core i3-1005G1 20GB DDR4 1000GB HDD + 256GB SSD FHD DOS Grey;57310 сом;Уточняйте наличие
Ноутбук Dell Inspiron 5770 Intel Core i3-7020U 8GB DDR 1000GB HDD + 256GB SSD AMD Radeon 530 2GB FHD серебристый;54010 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad L3-15IML05 Intel Core i5-10210U 12GB DDR 256GB SSD Intel HD Graphics 620 HD серебристый;57050 сом;Уточняйте наличие
Ноутбук Lenovo Ideapad L3-15IML05 Intel Core i7-10510U 12GB DDR4 256GB SSD Nvidia Geforce MX330 2GB HD серый;74850 сом;Уточняйте наличие
